Variable Group Description,Age Group Description,Geography,Values,YEAR,Definition,Dataset,Geography Level,FIPS,NAME,Role
Native Hawaiian and Other Pacific Islander Female,25 to 29,"Pierce County, WA",622.0,2016,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Female,55 to 59,"Pierce County, WA",21045.0,2011,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Female,85+,,60.0,2017,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Female,25 to 29,Seattle MSA,30242.0,2018,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native American Female,0 to 4,,898.0,2014,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Male,45 to 49,United States,1795014.0,2016,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Hispanic Female,35 to 39,United States,1995111.0,2014,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Multiracial Female,5 to 9,"Pierce County, WA",3010.0,2011,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Asian Male,35 to 39,Washington,40083.0,2023,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Hispanic Female,85+,Washington,2131.0,2018,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Male,35 to 39,,145797.0,2015,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Female,55 to 59,"Pierce County, WA",26701.0,2023,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Hispanic Male,60 to 64,Seattle MSA,3137.0,2013,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
White Female,5 to 9,,62718.0,2019,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Male,15 to 19,Washington,18572.0,2023,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Female,25 to 29,"Pierce County, WA",33217.0,2021,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Multiracial Female,70 to 74,Seattle MSA,1055.0,2019,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Multiracial Male,15 to 19,"Pierce County, WA",2698.0,2013,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Male,75 to 79,,184.0,2019,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Female,85+,,1042.0,2021,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Male,85+,,183.0,2019,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Female,15 to 19,,58792.0,2022,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Male,35 to 39,"Pierce County, WA",369.0,2011,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Asian Male,35 to 39,United States,876579.0,2023,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Native American Male,85+,Seattle MSA,110.0,2023,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
White Male,75 to 79,Seattle MSA,28892.0,2017,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Multiracial Female,60 to 64,United States,103823.0,2018,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Hispanic Male,35 to 39,,15898.0,2013,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Female,5 to 9,,12121.0,2014,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Female,75 to 79,United States,385747.0,2016,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Hispanic Female,60 to 64,United States,1057854.0,2017,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Multiracial Female,40 to 44,Seattle MSA,5751.0,2022,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Black or African American Female,0 to 4,Washington,9897.0,2024,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Hispanic Female,10 to 14,"Pierce County, WA",3879.0,2011,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Hispanic Female,15 to 19,Washington,55675.0,2024,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Multiracial Male,10 to 14,Seattle MSA,10527.0,2016,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
White Female,55 to 59,,100946.0,2018,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,30 to 34,"Pierce County, WA",50.99499985658274,2008,nan,Moodys,County,53053,Pierce County,Broad
Native American Male,50 to 54,Washington,2808.0,2018,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
All,60 to 64,Seattle MSA,96.37899642204462,1998,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
All,25 to 29,United States,21081.27235088074,2009,nan,Moodys,National,00,United States,Benchmark
All,20 to 24,Washington,456.612999999997,2008,nan,Moodys,State,53,Washington,Benchmark
Native American Male,85+,"Pierce County, WA",11.0,2015,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Male,45 to 49,United States,5676347.0,2023,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Native American Male,40 to 44,United States,73825.0,2021,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Native American Female,10 to 14,Seattle MSA,1024.0,2011,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Hispanic Male,70 to 74,Seattle MSA,1301.0,2014,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Hispanic Male,5 to 9,"Pierce County, WA",5255.0,2018,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Hispanic Male,60 to 64,Seattle MSA,6381.0,2021,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Female,10 to 14,Washington,1783.0,2013,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Hispanic Male,85+,Seattle MSA,736.0,2024,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Asian Female,40 to 44,,21823.0,2014,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Female,0 to 4,,23549.0,2024,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Male,85+,Washington,47607.0,2022,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
All,65+,United States,34624.01814692911,1998,nan,Moodys,National,00,United States,Benchmark
Asian Female,30 to 34,Seattle MSA,19836.0,2011,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
White Female,30 to 34,Washington,179304.0,2020,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Black or African American Female,35 to 39,Washington,9185.0,2016,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
All,45 to 49,United States,11361.879158029837,1978,nan,Moodys,National,00,United States,Benchmark
White Female,35 to 39,Seattle MSA,88754.0,2023,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Male,80 to 84,Seattle MSA,21414.0,2014,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
All,55 to 59,Seattle MSA,96.7102269514378,1989,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
Asian Female,40 to 44,"Pierce County, WA",2156.0,2012,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native American Female,5 to 9,Seattle MSA,721.0,2021,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Male,80 to 84,"Pierce County, WA",4814.0,2010,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native American Male,35 to 39,Seattle MSA,1208.0,2019,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native American Female,20 to 24,Seattle MSA,1105.0,2020,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Black or African American Male,45 to 49,,9349.0,2020,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Male,5 to 9,,8081.0,2016,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Female,80 to 84,United States,2835820.0,2022,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Female,15 to 19,United States,10703592.0,2010,nan,PEP_Vintage_2020,National,00,United States,Benchmark
All,30 to 34,United States,20029.50055886813,1985,nan,Moodys,National,00,United States,Benchmark
All,40 to 44,United States,16191.57623130636,1988,nan,Moodys,National,00,United States,Benchmark
Asian Male,0 to 4,Washington,14605.0,2010,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Hispanic Female,25 to 29,United States,2387708.0,2021,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Native American Female,25 to 29,Washington,3588.0,2021,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
All,10 to 14,Seattle MSA,219.38500144329345,2003,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Female,40 to 44,,1836.0,2023,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Female,50 to 54,,6560.0,2017,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Male,55 to 59,,949.0,2018,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Female,20 to 24,Seattle MSA,8217.0,2020,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Asian Male,25 to 29,"Pierce County, WA",2319.0,2018,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Female,80 to 84,United States,3136946.0,2024,nan,PEP_Vintage_2024,National,00,United States,Benchmark
All,10 to 14,United States,17871.87375397336,1983,nan,Moodys,National,00,United States,Benchmark
Female,65 to 69,"Pierce County, WA",25448.0,2024,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
All,50 to 54,"Pierce County, WA",39.54799740995481,1998,nan,Moodys,County,53053,Pierce County,Broad
Male,60 to 64,United States,8662539.0,2013,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Multiracial Male,40 to 44,United States,132197.0,2016,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Male,30 to 34,United States,10796288.0,2014,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Female,45 to 49,Seattle MSA,1378.0,2024,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
White Male,75 to 79,Seattle MSA,23344.0,2010,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native American Male,55 to 59,United States,74868.0,2020,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Asian Male,0 to 4,Seattle MSA,14455.0,2015,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Black or African American Male,50 to 54,"Pierce County, WA",2276.0,2021,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
White Male,15 to 19,United States,5720340.0,2018,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Hispanic Male,85+,Seattle MSA,489.0,2018,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native American Male,15 to 19,Seattle MSA,1050.0,2020,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Male,75 to 79,"Pierce County, WA",7799.0,2015,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Male,5 to 9,"Pierce County, WA",16892.0,2020,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
All,50 to 54,"Pierce County, WA",41.781999041929744,1999,nan,Moodys,County,53053,Pierce County,Broad
All,45 to 49,,286.2179992109536,2008,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Female,45 to 49,,93023.0,2017,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Male,5 to 9,"Pierce County, WA",2029.0,2024,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
All,50 to 54,Washington,377.4869950753127,1999,nan,Moodys,State,53,Washington,Benchmark
Black or African American Male,40 to 44,Seattle MSA,8344.0,2016,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Male,60 to 64,United States,10344609.0,2022,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Male,30 to 34,,2096.0,2023,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Male,55 to 59,Seattle MSA,7258.0,2018,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native American Male,30 to 34,Washington,3988.0,2021,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
All,25 to 29,Washington,471.2440000000042,2008,nan,Moodys,State,53,Washington,Benchmark
Asian Female,40 to 44,"Pierce County, WA",2079.0,2010,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Multiracial Female,25 to 29,"Pierce County, WA",1925.0,2014,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Male,85+,,54.0,2018,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Female,5 to 9,"Pierce County, WA",15387.0,2015,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Black or African American Female,70 to 74,,3553.0,2022,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Female,30 to 34,Washington,37365.0,2019,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Black or African American Male,30 to 34,"Pierce County, WA",3804.0,2022,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Native American Female,25 to 29,United States,94434.0,2020,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Asian Male,80 to 84,United States,122181.0,2019,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native American Male,25 to 29,Washington,3846.0,2015,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Black or African American Female,85+,United States,319124.0,2015,nan,PEP_Vintage_2020,National,00,United States,Benchmark
White Female,45 to 49,Washington,162904.0,2018,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
All,55 to 59,United States,15147.941266513528,2002,nan,Moodys,National,00,United States,Benchmark
All,40 to 44,United States,11199.97213846513,1977,nan,Moodys,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Male,50 to 54,Seattle MSA,809.0,2012,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Female,65 to 69,,87144.0,2013,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Female,55 to 59,United States,125395.0,2020,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Hispanic Female,0 to 4,United States,2476061.0,2019,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Multiracial Female,15 to 19,,11600.0,2023,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Female,40 to 44,"Pierce County, WA",2131.0,2011,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
All,65+,,394.74500630638966,2009,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Female,0 to 4,,8154.0,2019,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Female,70 to 74,United States,6052563.0,2021,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Male,55 to 59,,1078.0,2022,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Male,5 to 9,"Pierce County, WA",16103.0,2016,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native American Male,70 to 74,Washington,1305.0,2018,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native Hawaiian and Other Pacific Islander Male,35 to 39,Seattle MSA,1847.0,2021,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Female,65 to 69,,589.0,2019,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Male,45 to 49,"Pierce County, WA",2255.0,2011,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Female,55 to 59,Seattle MSA,83849.0,2021,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native American Male,60 to 64,Seattle MSA,853.0,2022,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Black or African American Male,55 to 59,United States,1084710.0,2012,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Asian Male,85+,United States,93717.0,2017,nan,PEP_Vintage_2020,National,00,United States,Benchmark
All,15 to 19,Seattle MSA,179.13775411941864,1977,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
All,5 to 9,United States,20177.95254472889,2001,nan,Moodys,National,00,United States,Benchmark
Asian Male,5 to 9,,14513.0,2015,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Male,0 to 4,,126685.0,2015,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,10 to 14,"Pierce County, WA",50.8439995375895,1996,nan,Moodys,County,53053,Pierce County,Broad
Native American Male,85+,Washington,359.0,2022,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
All,30 to 34,Seattle MSA,217.1577137346213,1984,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
Hispanic Female,65 to 69,"Pierce County, WA",1049.0,2021,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Asian Male,80 to 84,"Pierce County, WA",258.0,2014,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
All,5 to 9,Washington,424.0680000000019,2000,nan,Moodys,State,53,Washington,Benchmark
Multiracial Female,5 to 9,,11775.0,2013,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Female,80 to 84,"Pierce County, WA",5944.0,2012,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Black or African American Male,85+,Seattle MSA,591.0,2020,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
White Male,65 to 69,,77789.0,2020,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
